month,monthly_churn_rate_pct,trailing_3mo_avg
2022-01,0.0,0.0
2022-02,20.0,10.0
2022-03,0.0,6.67
2022-04,10.71,10.24
2022-05,2.86,4.52
2022-06,4.35,5.97
2022-07,11.32,6.18
2022-08,10.53,8.73
2022-09,7.46,9.77
2022-10,6.58,8.19
2022-11,5.75,6.6
2022-12,2.11,4.81
2023-01,3.74,3.87
2023-02,2.61,2.82
2023-03,1.63,2.66
2023-04,6.4,3.55
2023-05,3.01,3.68
2023-06,7.14,5.52
2023-07,4.83,4.99
2023-08,4.46,5.48
2023-09,4.38,4.56
2023-10,2.94,3.93
2023-11,4.42,3.91
2023-12,3.83,3.73
2024-01,3.76,4.0
2024-02,4.26,3.95
2024-03,2.12,3.38
2024-04,3.94,3.44
2024-05,3.88,3.31
2024-06,4.23,4.02
2024-07,3.7,3.94
2024-08,3.14,3.69
2024-09,3.1,3.31
2024-10,3.0,3.08
2024-11,3.78,3.29
2024-12,3.75,3.51
2025-01,3.64,3.72
2025-02,3.19,3.53
2025-03,2.72,3.18
2025-04,6.3,4.07
2025-05,5.68,4.9
2025-06,4.21,5.4
2025-07,3.4,4.43
2025-08,2.64,3.42
2025-09,3.4,3.15
2025-10,3.35,3.13
2025-11,3.24,3.33
2025-12,1.42,2.67
