month,total_mrr,new_mrr,prev_total_mrr,nrr_pct
2022-01,0.0,7333.07,,
2022-02,7333.07,5001.44,0.0,inf
2022-03,12301.16,11923.75,7333.07,5.15
2022-04,24798.76,5827.150000000001,12301.16,154.23
2022-05,29091.88,10142.05,24798.76,76.41
2022-06,38919.93,7720.4400000000005,29091.88,107.24
2022-07,45097.72,10522.0,38919.93,88.84
2022-08,54140.41,14769.35,45097.72,87.3
2022-09,65198.0,22330.15,54140.41,79.18
2022-10,86824.16,7884.57,65198.0,121.08
2022-11,93168.11,5960.05,86824.16,100.44
2022-12,96100.66,8741.130000000001,93168.11,93.77
2023-01,104773.35,13511.29,96100.66,94.97
2023-02,115539.13,9539.55,104773.35,101.17
2023-03,125258.61,5728.62,115539.13,103.45
2023-04,129471.28,15775.56,125258.61,90.77
2023-05,142401.69,15180.68,129471.28,98.26
2023-06,142966.32,11054.779999999999,142401.69,92.63
2023-07,147630.36,13135.59,142966.32,94.07
2023-08,158920.7,6770.21,147630.36,103.06
2023-09,162830.02,11674.87,158920.7,95.11
2023-10,170763.72,14858.36,162830.02,95.75
2023-11,184058.29,10237.34,170763.72,101.79
2023-12,189579.35,4226.71,184058.29,100.7
2024-01,191783.54,5467.65,189579.35,98.28
2024-02,192379.41,7118.75,191783.54,96.6
2024-03,196219.33,8510.73,192379.41,97.57
2024-04,200076.61,19591.940000000002,196219.33,91.98
2024-05,217117.58,6260.67,200076.61,105.39
2024-06,215810.52,13235.45,217117.58,93.3
2024-07,222303.36,20739.829999999998,215810.52,93.4
2024-08,242222.62,4160.15,222303.36,107.09
2024-09,234749.84,5606.87,242222.62,94.6
2024-10,239344.73,16274.98,234749.84,95.02
2024-11,253489.47,11199.91,239344.73,101.23
2024-12,260856.24,10069.68,253489.47,98.93
2025-01,266142.93,5294.0199999999995,260856.24,100.0
2025-02,274162.54,22449.31,266142.93,94.58
2025-03,280928.08,7698.07,274162.54,99.66
2025-04,287791.15,9033.84,280928.08,99.23
2025-05,287207.82,5129.4,287791.15,98.01
2025-06,280683.13,11879.16,287207.82,93.59
2025-07,287661.73,12048.44,280683.13,98.19
2025-08,287743.0,5092.99,287661.73,98.26
2025-09,290824.44,5229.32,287743.0,99.25
2025-10,280089.15,9715.45,290824.44,92.97
2025-11,285261.36,15397.77,280089.15,96.35
2025-12,292628.61,3539.49,285261.36,101.34
