InvoiceNo,InvoiceDate,CustomerID,ProductCategory,Quantity,UnitPrice,Channel,Country
INV902603,2023-07-27,C101402,Home & Kitchen,1,124.4,Paid Ads,germany
INV902317,2023-04-20,C101255,Books,2,9.65,Referral,Germany
INV902273,2024-08-28,C101213,Electronics,-4,328.8,Email, United Kingdom
INV902793,2023-11-15,C101489,Office Supplies,4,23.14,Organic Search,germany
INV901423,2024-04-04,C100761,Toys,4,11.8,Email,united states
INV902297,2024-03-10,C101237,Sports & Outdoors,5,79.06,Referral,France
INV902309,2024-07-22,C101246,Electronics,3,110.84,Organic Search,United Kingdom
INV902513,2024-09-24,C101346,Books,1,33.42,Organic Search, United Kingdom
INV901006,2024-03-07,C100518,Beauty,3,30.66,Referral,united kingdom
INV900527,2023-02-09,C100271,Apparel,1,85.66,Email,France
INV900326,2024-02-19,C100174,Books,-2,22.07,Referral,United Kingdom
INV900321,2024-04-28,C100172,Home & Kitchen,5,97.01,Paid Ads,UK
INV901275,2023-11-06,C100666,Electronics,5,208.9,Organic Search,france
INV900256,2024-12-16,C100133,Toys,4,48.59,Social,USA
INV900428,2024-12-01,C100225,Books,2,21.45,Paid Ads,Germany
INV902132,2024-08-20,C101138,Home & Kitchen,2,71.32,Email,USA
INV902436,2023-12-19,C101317,Beauty,4,36.82,Social,germany
INV900474,2024-12-15,C100244,Apparel,4,30.11,Paid Ads,united kingdom
INV902293,2023-09-19,C101237,Toys,2,22.82,Referral,france
INV901275,2023-11-06,C100666,Home & Kitchen,3,139.41,Organic Search,france
INV900531,2023-10-23,C100276,Sports & Outdoors,2,191.05,Paid Ads,France
INV901295,2023-10-25,C100681,Home & Kitchen,3,97.76,Organic Search,US
INV900873,2024-03-14,C100445,Toys,1,61.63,Email,france
INV901690,2024-09-26,C100885,Electronics,2,332.08,Referral,US
INV901164,2024-09-06,C100607,Beauty,1,13.77,Paid Ads,UK
INV902694,2023-11-25,C101451,Beauty,4,26.11,Referral,DE
INV902814,2023-11-13,C101500,Office Supplies,5,17.12,Paid Ads, United Kingdom
INV903284,2023-07-08,C101776,Sports & Outdoors,4,136.33,Paid Ads,germany
INV900083,2023-12-21,C100043,Books,4,8.44,Paid Ads,USA
INV900155,2024-08-22,C100081,Home & Kitchen,4,53.61,Referral,UK
INV901648,2024-12-11,C100869,Books,3,26.13,Referral,United Kingdom
INV900242,2024-08-01,C100124,Books,1,32.05,Email,Ireland
INV902602,2024-06-22,C101400,Sports & Outdoors,5,13.39,Social,United Kingdom
INV900458,2024-04-23,C100235,Toys,5,27.75,Organic Search,germany
INV902366,2023-05-10,C101285,Apparel,4,48.77,Organic Search,UK
INV902734,2024-07-09,,Apparel,1,68.36,Email,France
INV900760,2024-03-10,C100390,Books,1,5.29,Paid Ads,US
INV901736,2023-12-02,C100914,Beauty,5,49.16,Referral,France
INV901936,2023-12-09,C101028,Electronics,4,416.01,Organic Search,France
INV900122,2024-12-19,C100056,Electronics,5,598.07,Referral,US
INV900285,2024-11-03,C100152,Electronics,3,176.04,Organic Search,USA
INV902730,2024-01-12,C101463,Office Supplies,3,31.05,Referral, United Kingdom
INV900386,2024-03-06,C100210,Apparel,5,23.33,Organic Search,france
INV900491,2024-03-20,C100250,Toys,2,58.64,Organic Search, United Kingdom
INV900741,2023-05-24,C100385,Beauty,2,51.52,Social,United Kingdom
INV901346,2024-04-02,C100713,Apparel,5,31.96,Paid Ads,UK
INV901412,2023-11-22,C100757,Sports & Outdoors,2,56.27,Referral,Ireland
INV901653,2024-04-15,C100874,Books,1,20.44,Email,United Kingdom
INV900572,2023-12-13,C100297,Books,3,28.27,Email,united kingdom
INV901994,2024-04-02,C101064,Books,1,18.13,Email, United Kingdom
INV902272,2024-08-23,C101213,Office Supplies,3,34.64,Email,united kingdom
INV901085,2024-04-01,C100567,Electronics,2,141.57,Organic Search,United States
INV902425,2024-05-24,C101312,Books,3,24.16,Referral,ireland
INV900366,2023-11-13,C100196,Toys,2,7.8,Organic Search,Ireland
INV902199,2024-06-25,C101182,Office Supplies,4,22.98,Email,france
INV900823,2024-11-28,C100416,Sports & Outdoors,5,157.18,Paid Ads,united kingdom
INV901437,2024-08-11,C100766,Office Supplies,4,10.71,Referral,France
INV902426,2024-08-23,C101312,Electronics,5,138.44,Referral,ireland
INV901820,2023-01-07,C100969,Office Supplies,5,5.49,Referral,germany
INV900074,2024-05-08,,Home & Kitchen,2,14.91,Organic Search,DE
INV900679,2024-04-09,C100351,Apparel,1,18.76,Organic Search, United Kingdom
INV900914,2024-07-17,C100470,Sports & Outdoors,1,164.42,Organic Search,ireland
INV902752,2024-08-10,C101474,Electronics,4,539.65,Paid Ads,united states
INV902158,2024-11-13,C101156,Beauty,4,12.03,Social,USA
INV900148,2023-07-24,C100077,Home & Kitchen,2,57.86,Paid Ads,germany
INV900011,2023-10-27,C100006,Electronics,2,432.17,Paid Ads,US
INV902130,2024-03-13,,Home & Kitchen,5,20.42,Email,united states
INV901215,2023-11-20,C100636,Toys,4,18.03,Referral,DE
INV903055,2023-05-27,C101652,Office Supplies,5,25.73,Email,France
INV901670,2023-09-19,C100880,Apparel,4,59.85,Organic Search,United States
INV901169,2024-10-15,C100610,Electronics,2,73.53,Organic Search,ireland
INV901556,2023-02-21,C100825,Beauty,2,6.57,Organic Search,Germany
INV902822,2023-12-27,C101504,Electronics,4,295.97,Referral,United States
INV902098,2024-08-15,C101118,Books,1,21.4,Email,france
INV902490,2023-11-02,C101339,Electronics,2,101.14,Paid Ads,United States
INV902664,2024-07-06,C101436,Beauty,3,23.29,Referral,germany
INV900041,2023-11-20,C100020,Books,-1,9.58,Organic Search,Germany
INV900992,2024-11-01,C100513,Beauty,3,32.3,Social,DE
INV902828,2024-03-08,C101509,Beauty,4,31.79,Social,UK
INV900626,2024-07-27,C100323,Toys,4,33.12,Email,DE
INV903154,2024-07-14,,Beauty,3,5.66,Referral,United Kingdom
INV902370,2023-12-08,C101287,Toys,2,63.2,Paid Ads,Germany
INV902997,2023-11-01,C101609,Office Supplies,4,20.33,Email,France
INV901267,2023-08-16,C100663,Apparel,3,66.15,Social,germany
INV901170,2024-12-15,C100610,Toys,1,56.95,Organic Search,Ireland
INV901723,2023-08-09,C100908,Sports & Outdoors,3,100.45,Paid Ads, United Kingdom
INV901816,2024-06-28,C100965,Apparel,2,52.98,Referral, United Kingdom
INV901256,2024-07-09,C100659,Sports & Outdoors,4,115.61,Referral,france
INV900304,2024-07-12,C100163,Sports & Outdoors,4,65.24,Email,UK
INV902478,2024-07-19,C101331,Electronics,5,127.03,Email,united kingdom
INV900409,2024-04-13,C100218,Sports & Outdoors,5,164.33,Organic Search,united kingdom
INV902296,2024-01-01,C101237,Office Supplies,1,16.75,Referral,France
INV901591,2023-01-25,C100844,Office Supplies,2,37.06,Email,UK
INV901664,2024-06-17,C100877,Office Supplies,3,41.02,Paid Ads,United Kingdom
INV901918,2023-11-28,C101013,Home & Kitchen,2,43.9,Paid Ads,United States
INV900154,2024-08-08,C100081,Home & Kitchen,3,121.6,Referral,United Kingdom
INV900473,2024-03-23,C100244,Sports & Outdoors,3,25.33,Paid Ads,UK
INV901917,2023-08-01,C101013,Sports & Outdoors,2,58.53,Paid Ads,US
INV902757,2023-09-12,C101477,Electronics,4,255.32,Email,ireland
INV900939,2024-02-01,C100486,Books,4,16.13,Email,France
INV900509,2023-05-11,C100261,Office Supplies,5,29.82,Email,ireland
