CustomerID,Channel,Recency,Frequency,Monetary,Segment
C100000,Paid Ads,666,3,2573.53,Champions
C100005,Email,55,3,603.46,Loyal Regulars
C100006,Paid Ads,420,6,6141.7,Champions
C100008,Organic Search,435,2,649.04,At Risk
C100009,Organic Search,25,3,2675.1299999999997,Loyal Regulars
C100010,Referral,421,1,182.49,Hibernating / Lost
C100011,Referral,99,3,946.66,Champions
C100012,Social,40,2,920.51,Loyal Regulars
C100013,Social,71,3,921.96,Loyal Regulars
C100015,Social,32,4,1646.9,Loyal Regulars
C100016,Organic Search,390,1,793.1999999999999,At Risk
C100017,Organic Search,616,2,922.89,At Risk
C100018,Organic Search,99,4,3402.94,Champions
C100019,Paid Ads,67,1,375.45,Hibernating / Lost
C100020,Organic Search,294,2,735.06,At Risk
C100021,Referral,502,1,21.72,Hibernating / Lost
C100022,Email,383,2,1840.35,At Risk
C100024,Organic Search,202,2,585.55,At Risk
C100025,Organic Search,295,2,2254.08,At Risk
C100027,Referral,62,2,1200.44,Loyal Regulars
C100029,Email,391,2,357.03,At Risk
C100030,Organic Search,157,4,1942.1060000000002,Champions
C100032,Paid Ads,4,3,422.5,Loyal Regulars
C100034,Referral,19,2,915.6400000000001,Loyal Regulars
C100035,Organic Search,4,2,851.9,Loyal Regulars
C100038,Referral,272,6,4148.008,Champions
C100039,Organic Search,235,1,792.73,At Risk
C100041,Referral,70,4,3960.55,Champions
C100042,Organic Search,267,2,491.68,At Risk
C100043,Paid Ads,291,5,1550.7099999999998,Champions
C100044,Paid Ads,18,6,1589.3799999999999,Loyal Regulars
C100045,Organic Search,148,1,2824.8,At Risk
C100046,Email,199,3,3205.05,Champions
C100048,Referral,47,3,947.59,Loyal Regulars
C100049,Paid Ads,78,4,1373.87,Champions
C100051,Organic Search,634,1,46.78,Hibernating / Lost
C100052,Organic Search,386,2,6881.9,Champions
C100053,Organic Search,34,4,4025.7,Loyal Regulars
C100054,Social,400,2,905.01,At Risk
C100055,Referral,197,5,1394.29,Champions
C100056,Referral,10,6,8618.79,Loyal Regulars
C100057,Paid Ads,411,4,1682.1299999999999,Champions
C100060,Paid Ads,132,2,993.2092,At Risk
C100062,Organic Search,66,1,268.32,Hibernating / Lost
C100063,Organic Search,65,2,2016.51,Loyal Regulars
C100064,Social,290,3,1494.5,Champions
C100066,Social,8,1,512.01,Loyal Regulars
C100067,Organic Search,80,3,2387.59,Champions
C100071,Organic Search,586,1,2268.9,At Risk
C100072,Organic Search,373,1,343.61,Hibernating / Lost
C100073,Social,33,4,1293.53,Loyal Regulars
C100075,Email,419,1,360.14,At Risk
C100076,Paid Ads,439,1,431.04,At Risk
C100077,Paid Ads,524,2,2041.26,At Risk
C100079,Organic Search,251,1,1448.78,At Risk
C100080,Social,69,2,3107.59,Loyal Regulars
C100081,Referral,129,4,2887.29,Champions
C100082,Email,493,2,722.54,At Risk
C100083,Paid Ads,46,2,475.15999999999997,Loyal Regulars
C100085,Social,95,3,2173.39,Champions
C100087,Organic Search,402,2,1274.46,At Risk
C100088,Paid Ads,154,3,2812.42,Champions
C100090,Email,103,7,2857.14,Champions
C100091,Referral,9,3,857.45,Loyal Regulars
C100093,Organic Search,501,1,260.36,Hibernating / Lost
C100095,Paid Ads,260,2,1375.65,At Risk
C100096,Email,280,2,612.84,At Risk
C100097,Organic Search,69,3,3472.8399999999997,Champions
C100099,Organic Search,566,1,564.61,At Risk
C100101,Paid Ads,394,5,1278.42,Champions
