channel,category,margin_pct
Marketplace,Apparel,-7.8
Marketplace,Beauty,17.2
Marketplace,Books & Media,14.5
Marketplace,Electronics,16.7
Marketplace,Home & Kitchen,35.1
Marketplace,Jewelry & Accessories,46.2
Marketplace,Sports & Outdoors,35.2
Marketplace,Toys & Games,34.5
Mobile App,Apparel,-7.1
Mobile App,Beauty,23.0
Mobile App,Books & Media,14.6
Mobile App,Electronics,35.8
Mobile App,Home & Kitchen,42.7
Mobile App,Jewelry & Accessories,59.2
Mobile App,Sports & Outdoors,50.9
Mobile App,Toys & Games,43.4
Social Commerce,Apparel,-39.1
Social Commerce,Beauty,-3.9
Social Commerce,Books & Media,-7.1
Social Commerce,Electronics,10.5
Social Commerce,Home & Kitchen,19.8
Social Commerce,Jewelry & Accessories,41.3
Social Commerce,Sports & Outdoors,29.9
Social Commerce,Toys & Games,25.6
Website,Apparel,11.7
Website,Beauty,29.9
Website,Books & Media,21.2
Website,Electronics,40.7
Website,Home & Kitchen,47.8
Website,Jewelry & Accessories,64.6
Website,Sports & Outdoors,55.4
Website,Toys & Games,48.1
