month,platform,roas
2024-01,Email/Affiliate,7.54
2024-02,Email/Affiliate,6.89
2024-03,Email/Affiliate,7.34
2024-04,Email/Affiliate,6.89
2024-05,Email/Affiliate,7.93
2024-06,Email/Affiliate,6.93
2024-07,Email/Affiliate,7.69
2024-08,Email/Affiliate,6.88
2024-09,Email/Affiliate,7.16
2024-10,Email/Affiliate,7.72
2024-11,Email/Affiliate,7.28
2024-12,Email/Affiliate,7.46
2025-01,Email/Affiliate,6.78
2025-02,Email/Affiliate,7.25
2025-03,Email/Affiliate,7.59
2025-04,Email/Affiliate,6.59
2025-05,Email/Affiliate,7.19
2025-06,Email/Affiliate,6.77
2025-07,Email/Affiliate,7.4
2025-08,Email/Affiliate,6.83
2025-09,Email/Affiliate,7.38
2025-10,Email/Affiliate,6.61
2025-11,Email/Affiliate,6.7
2025-12,Email/Affiliate,7.04
2024-01,Google Ads,4.02
2024-02,Google Ads,4.01
2024-03,Google Ads,4.32
2024-04,Google Ads,4.37
2024-05,Google Ads,4.35
2024-06,Google Ads,4.19
2024-07,Google Ads,3.9
2024-08,Google Ads,3.98
2024-09,Google Ads,4.31
2024-10,Google Ads,3.83
2024-11,Google Ads,4.03
2024-12,Google Ads,4.3
2025-01,Google Ads,4.28
2025-02,Google Ads,3.82
2025-03,Google Ads,4.08
2025-04,Google Ads,4.21
2025-05,Google Ads,3.96
2025-06,Google Ads,4.19
2025-07,Google Ads,4.02
2025-08,Google Ads,3.94
2025-09,Google Ads,3.95
2025-10,Google Ads,3.99
2025-11,Google Ads,4.2
2025-12,Google Ads,4.09
2024-01,Meta Ads,3.55
2024-02,Meta Ads,3.43
2024-03,Meta Ads,3.34
2024-04,Meta Ads,3.34
2024-05,Meta Ads,3.09
2024-06,Meta Ads,3.5
2024-07,Meta Ads,3.39
2024-08,Meta Ads,3.28
2024-09,Meta Ads,3.27
2024-10,Meta Ads,3.29
2024-11,Meta Ads,3.15
2024-12,Meta Ads,3.3
2025-01,Meta Ads,3.12
2025-02,Meta Ads,3.31
2025-03,Meta Ads,2.92
2025-04,Meta Ads,3.15
2025-05,Meta Ads,2.92
2025-06,Meta Ads,2.99
2025-07,Meta Ads,2.92
2025-08,Meta Ads,3.09
2025-09,Meta Ads,3.11
2025-10,Meta Ads,3.24
2025-11,Meta Ads,2.9
2025-12,Meta Ads,3.26
2024-01,Pinterest Ads,1.68
2024-02,Pinterest Ads,1.68
2024-03,Pinterest Ads,1.37
2024-04,Pinterest Ads,1.46
2024-05,Pinterest Ads,1.44
2024-06,Pinterest Ads,1.36
2024-07,Pinterest Ads,1.74
2024-08,Pinterest Ads,1.39
2024-09,Pinterest Ads,1.55
2024-10,Pinterest Ads,1.32
2024-11,Pinterest Ads,1.77
2024-12,Pinterest Ads,1.45
2025-01,Pinterest Ads,1.38
2025-02,Pinterest Ads,1.67
2025-03,Pinterest Ads,1.56
2025-04,Pinterest Ads,1.3
2025-05,Pinterest Ads,1.29
2025-06,Pinterest Ads,1.39
2025-07,Pinterest Ads,1.49
2025-08,Pinterest Ads,1.45
2025-09,Pinterest Ads,1.5
2025-10,Pinterest Ads,1.68
2025-11,Pinterest Ads,1.83
2025-12,Pinterest Ads,1.55
2024-01,TikTok Ads,4.8
2024-02,TikTok Ads,4.81
2024-03,TikTok Ads,5.47
2024-04,TikTok Ads,5.16
2024-05,TikTok Ads,4.93
2024-06,TikTok Ads,5.4
2024-07,TikTok Ads,5.4
2024-08,TikTok Ads,5.01
2024-09,TikTok Ads,4.84
2024-10,TikTok Ads,5.42
2024-11,TikTok Ads,5.44
2024-12,TikTok Ads,4.73
2025-01,TikTok Ads,4.6
2025-02,TikTok Ads,4.54
2025-03,TikTok Ads,3.96
2025-04,TikTok Ads,3.98
2025-05,TikTok Ads,3.64
2025-06,TikTok Ads,3.71
2025-07,TikTok Ads,3.24
2025-08,TikTok Ads,3.03
2025-09,TikTok Ads,2.81
2025-10,TikTok Ads,2.71
2025-11,TikTok Ads,2.2
2025-12,TikTok Ads,2.18
