month,platform,spend,impressions,clicks,conversions,attributed_revenue
2024-01,Google Ads,3318.45,119378,2651,108,13333.3
2024-01,Meta Ads,2513.56,139984,2789,80,8918.92
2024-01,TikTok Ads,1905.47,139867,3361,69,9145.18
2024-01,Pinterest Ads,1173.44,81616,1624,27,1972.74
2024-01,Email/Affiliate,739.43,177620,4781,476,5577.55
2024-02,Google Ads,3556.62,138865,2651,123,14262.43
2024-02,Meta Ads,2735.18,145725,2671,78,9373.44
2024-02,TikTok Ads,2006.67,170434,3578,85,9644.23
2024-02,Pinterest Ads,1106.57,67911,1529,26,1858.34
2024-02,Email/Affiliate,805.46,266938,5784,565,5545.69
2024-03,Google Ads,3419.08,120907,2680,111,14780.67
2024-03,Meta Ads,3074.61,144325,3097,90,10273.3
2024-03,TikTok Ads,2198.12,172519,4266,98,12021.14
2024-03,Pinterest Ads,1333.21,86102,1994,36,1824.0
2024-03,Email/Affiliate,895.46,303726,5588,431,6572.46
2024-04,Google Ads,3822.13,107139,2601,126,16686.23
2024-04,Meta Ads,2821.63,135118,3072,98,9434.82
2024-04,TikTok Ads,2265.08,171196,4391,103,11685.56
2024-04,Pinterest Ads,1284.78,85526,1733,26,1880.22
2024-04,Email/Affiliate,898.83,220015,5492,482,6192.61
2024-05,Google Ads,3722.86,133131,2852,133,16195.25
2024-05,Meta Ads,3459.07,141323,4002,132,10677.45
2024-05,TikTok Ads,2052.18,208498,3824,96,10123.9
2024-05,Pinterest Ads,1520.81,98483,2053,40,2186.09
2024-05,Email/Affiliate,936.79,278882,6584,548,7428.23
2024-06,Google Ads,3822.92,147147,2800,132,16009.54
2024-06,Meta Ads,3107.38,122864,3463,112,10861.1
2024-06,TikTok Ads,2154.41,195091,4154,99,11627.39
2024-06,Pinterest Ads,1493.49,103003,2352,39,2028.62
2024-06,Email/Affiliate,946.2,274902,6909,637,6560.61
2024-07,Google Ads,4081.69,142856,3148,134,15913.29
2024-07,Meta Ads,3204.48,158039,3362,90,10852.81
2024-07,TikTok Ads,2133.71,178788,4270,96,11524.19
2024-07,Pinterest Ads,1540.79,95837,2178,39,2680.49
2024-07,Email/Affiliate,988.54,286076,6475,597,7602.7
2024-08,Google Ads,4238.76,183476,3418,167,16888.59
2024-08,Meta Ads,3635.42,174628,4066,109,11909.21
2024-08,TikTok Ads,2388.55,168915,4505,90,11970.15
2024-08,Pinterest Ads,1510.4,106871,2189,39,2106.18
2024-08,Email/Affiliate,958.75,252944,6547,642,6600.31
2024-09,Google Ads,4486.37,151217,3611,184,19353.56
2024-09,Meta Ads,3775.98,129156,3631,97,12339.77
2024-09,TikTok Ads,2510.9,178654,4267,99,12149.52
2024-09,Pinterest Ads,1400.34,71224,1883,38,2165.76
2024-09,Email/Affiliate,1045.3,349376,6545,609,7482.17
2024-10,Google Ads,4428.88,113690,2989,132,16959.75
2024-10,Meta Ads,3769.8,137027,3767,103,12420.0
2024-10,TikTok Ads,2770.12,194668,4980,118,15006.08
2024-10,Pinterest Ads,1719.13,132323,2488,49,2272.03
2024-10,Email/Affiliate,1075.37,384094,7121,604,8300.25
2024-11,Google Ads,6793.87,234868,5217,231,27379.86
2024-11,Meta Ads,5602.24,319486,5977,185,17620.29
2024-11,TikTok Ads,3570.57,316075,6194,153,19411.3
2024-11,Pinterest Ads,2538.45,176464,3514,57,4502.05
2024-11,Email/Affiliate,1681.63,595141,11340,1011,12238.68
2024-12,Google Ads,6490.26,204704,5306,249,27908.12
2024-12,Meta Ads,6366.46,310365,6366,210,20980.32
2024-12,TikTok Ads,3823.74,380443,7644,152,18074.29
2024-12,Pinterest Ads,2632.26,195096,4161,74,3810.38
2024-12,Email/Affiliate,1812.75,491230,11979,1128,13530.35
2025-01,Google Ads,3222.44,86642,2178,85,13787.67
2025-01,Meta Ads,2653.8,157095,2864,77,8273.47
2025-01,TikTok Ads,2027.96,180148,3353,77,9324.95
2025-01,Pinterest Ads,1395.24,104570,1946,34,1921.71
2025-01,Email/Affiliate,818.49,307016,6030,533,5547.5
2025-02,Google Ads,3612.63,130247,2615,121,13816.18
2025-02,Meta Ads,3131.65,114905,3261,85,10367.18
2025-02,TikTok Ads,2301.36,215965,4483,99,10446.14
2025-02,Pinterest Ads,1217.3,58966,1635,25,2035.64
2025-02,Email/Affiliate,902.1,342376,6314,559,6542.79
2025-03,Google Ads,3729.97,142347,2605,122,15226.48
2025-03,Meta Ads,3587.37,192189,3527,92,10470.39
2025-03,TikTok Ads,2401.29,162865,4305,93,9506.8
2025-03,Pinterest Ads,1381.45,83896,1925,34,2161.81
2025-03,Email/Affiliate,1008.62,260987,6578,587,7655.34
2025-04,Google Ads,3838.46,141707,2677,135,16165.81
2025-04,Meta Ads,3539.11,179589,3490,115,11165.58
2025-04,TikTok Ads,2298.79,148699,3966,94,9146.12
2025-04,Pinterest Ads,1652.13,99826,2465,47,2148.34
2025-04,Email/Affiliate,960.83,344917,7069,686,6331.84
2025-05,Google Ads,3895.03,134519,3138,145,15412.2
2025-05,Meta Ads,3591.76,185603,3700,116,10498.12
2025-05,TikTok Ads,2499.99,221659,4389,105,9098.19
2025-05,Pinterest Ads,1715.8,86402,2252,41,2216.75
2025-05,Email/Affiliate,1034.84,276973,7313,727,7439.26
2025-06,Google Ads,4700.0,189121,3531,155,19706.82
2025-06,Meta Ads,3906.93,192100,4251,116,11675.95
2025-06,TikTok Ads,2830.95,256432,5095,121,10490.9
2025-06,Pinterest Ads,1530.77,85474,2004,38,2121.5
2025-06,Email/Affiliate,966.69,242251,6115,497,6544.08
2025-07,Google Ads,4377.11,166356,3158,130,17597.98
2025-07,Meta Ads,3832.87,146062,3738,109,11184.77
2025-07,TikTok Ads,2416.93,171632,4772,106,7839.09
2025-07,Pinterest Ads,1534.33,93516,2119,36,2284.16
2025-07,Email/Affiliate,1129.06,392541,7596,677,8360.23
2025-08,Google Ads,4009.6,115605,2709,121,15796.8
2025-08,Meta Ads,3619.08,180745,4050,111,11200.18
2025-08,TikTok Ads,2773.39,191537,5342,106,8401.58
2025-08,Pinterest Ads,1756.05,120414,2464,50,2546.02
2025-08,Email/Affiliate,955.77,325120,6936,613,6529.12
2025-09,Google Ads,4492.48,160794,3216,142,17728.75
2025-09,Meta Ads,3948.74,159350,3845,115,12278.66
2025-09,TikTok Ads,2597.52,266817,5091,124,7296.58
2025-09,Pinterest Ads,1582.58,84452,2293,35,2367.7
2025-09,Email/Affiliate,1011.9,253775,6939,696,7465.15
2025-10,Google Ads,5456.16,157243,4017,155,21748.5
