month,crashes
2018-01,2216
2018-02,2011
2018-03,2244
2018-04,2146
2018-05,2361
2018-06,2435
2018-07,2192
2018-08,1937
2018-09,2500
2018-10,2489
2018-11,2218
2018-12,2304
2019-01,2163
2019-02,1826
2019-03,2174
2019-04,2201
2019-05,2140
2019-06,2110
2019-07,2221
2019-08,1897
2019-09,2241
2019-10,2365
2019-11,2177
2019-12,2021
2020-01,1229
2020-02,1169
2020-03,1333
2020-04,1350
2020-05,1361
2020-06,1309
2020-07,1350
2020-08,1154
2020-09,1437
2020-10,1439
2020-11,1368
2020-12,1314
2021-01,1575
2021-02,1453
2021-03,1696
2021-04,1673
2021-05,1668
2021-06,1689
2021-07,1770
2021-08,1587
2021-09,1823
2021-10,1835
2021-11,1821
2021-12,1671
2022-01,1867
2022-02,1603
2022-03,1909
2022-04,2044
2022-05,2042
2022-06,1873
2022-07,1917
2022-08,1703
2022-09,2134
2022-10,1968
2022-11,1858
2022-12,1841
2023-01,1722
2023-02,1701
2023-03,1807
2023-04,1885
2023-05,1800
2023-06,1812
2023-07,1786
2023-08,1689
2023-09,2000
2023-10,2014
2023-11,1836
2023-12,1777
2024-01,1659
2024-02,1505
2024-03,1763
2024-04,1846
2024-05,1882
2024-06,1716
2024-07,1787
2024-08,1494
2024-09,1770
2024-10,1949
2024-11,1759
2024-12,1832
