crash_year,borough,crashes
2018,BRONX,4398
2019,BRONX,4170
2020,BRONX,2610
2021,BRONX,3256
2022,BRONX,3593
2023,BRONX,3655
2024,BRONX,3572
2018,BROOKLYN,7359
2019,BROOKLYN,6936
2020,BROOKLYN,4326
2021,BROOKLYN,5454
2022,BROOKLYN,6187
2023,BROOKLYN,6071
2024,BROOKLYN,5563
2018,MANHATTAN,4997
2019,MANHATTAN,4771
2020,MANHATTAN,2976
2021,MANHATTAN,3715
2022,MANHATTAN,4174
2023,MANHATTAN,3997
2024,MANHATTAN,3859
2018,QUEENS,6654
2019,QUEENS,6241
2020,QUEENS,3829
2021,QUEENS,5088
2022,QUEENS,5653
2023,QUEENS,5202
2024,QUEENS,5029
2018,STATEN ISLAND,1239
2019,STATEN ISLAND,1165
2020,STATEN ISLAND,711
2021,STATEN ISLAND,929
2022,STATEN ISLAND,1057
2023,STATEN ISLAND,1022
2024,STATEN ISLAND,981
2018,UNKNOWN/UNASSIGNED,2406
2019,UNKNOWN/UNASSIGNED,2253
2020,UNKNOWN/UNASSIGNED,1361
2021,UNKNOWN/UNASSIGNED,1819
2022,UNKNOWN/UNASSIGNED,2095
2023,UNKNOWN/UNASSIGNED,1882
2024,UNKNOWN/UNASSIGNED,1958
